"locationID","location_name","locLat","locLon","country"
l1187,Sussex Cottage hospital,50.831,-0.115,GB
l1188,Sussex,53.321,-3.493,GB
l1189,"surveyor’s Office, Royal Asylum, Edinburgh",55.927,-3.214,GB
l119,Wolverhampton Dispensary,52.566,-2.076,GB
l1190,"Surrey, Kent",51.203,0.051,GB
l1191,"Surrey Hills, Victoria",-37.83,145.106,AU
l1192,Surrey County Lunatic Asylum,51.437,-0.17,GB
l1193,Surrey County Asylum,51.437,-0.17,GB
l1194,Surrey,51.315,-0.56,GB
l1195,Surinam,3.919,-56.028,SR
l1196,"Surgeons’ Hall, London",51.518,-0.095,GB
l1197,"Surgeons’ Hall, Edinburgh",55.947,-3.185,GB
l1198,"Surgeons Hall, Edinburgh",55.947,-3.185,GB
l1199,Surgeons Hall,55.947,-3.185,GB
l12,Youghal,51.954,-7.847,IE
l120,Wolverhampton and Staffordshire General infirmary,52.6,-2.095,GB
l1200,"Surgeon’s Hall, Edinburgh",55.947,-3.185,GB
l1201,Surgeon’s Hall,55.947,-3.185,GB
l1202,surgeon’s Hall,55.947,-3.185,GB
l1203,"Surgeon's hall, Edinburgh",55.947,-3.185,GB
l1204,surgeon,53.59,-2.713,GB
l1205,"Surbiton Hill, Surrey",51.397,-0.299,GB
l1206,Surbiton,51.394,-0.303,GB
l1207,"Surat, India",21.17,72.831,IN
l1208,Surat,21.17,72.831,IN
l1209,"Supreme Court, Madras",13.087,80.288,IN
l121,Wolverhampton,52.587,-2.129,GB
l1210,"Supreme Court, Chennai, India",13.087,80.288,IN
l1211,"Supreme Court, Cape Colony",-33.925,18.418,ZA
l1212,"Supreme Court, Bengal",51.5,-0.128,GB
l1213,Supreme Court of Victoria,-37.813,144.959,AU
l1214,Supreme Court Mumbai,18.931,72.83,IN
l1215,Supreme Court Bombay,18.931,72.83,IN
l1216,Supreme Court,51.5,-0.128,GB
l1217,Supply Pitt St.,-33.872,151.208,AU
l1218,"Sundon, Beds.",51.941,-0.473,GB
l1219,"Sundon, Bedfordshire",51.941,-0.473,GB
l122,"Wolston, Coventry",52.374,-1.398,GB
l1220,Sunderland Synagogue,55.001,-1.621,GB
l1221,Sunderland Infirmary,54.903,-1.409,GB
l1222,Sunderland English Presbyterian Church,54.907,-1.384,GB
l1223,Sunderland,54.907,-1.384,GB
l1224,"Sunbury, Middlesex",51.419,-0.419,GB
l1225,"Sun Fire Insurance, Edinburgh",55.953,-3.188,GB
l1226,"Summerhill, County Meath",53.481,-6.733,IE
l1227,"Summerhill, Co. Meath",53.481,-6.733,IE
l1228,"Sultanpur, Varanasi, Uttar Pradesh, India",25.264,83.04,IN
l1229,"Sullom Congregational Church, Shetland",60.442,-1.356,GB
l123,Wolstanton,53.03,-2.216,GB
l1230,"Suffolk Place, London",51.508,-0.131,GB
l1231,Suffolk General hospital,52.232,0.709,GB
l1232,Suffolk General Hospital,52.232,0.709,GB
l1233,Suffolk,52.187,0.971,GB
l1234,"Suez, Egypt",29.967,32.55,EG
l1235,"Sudder Court, Calcutta",22.558,88.353,IN
l1236,"Sudbury, Derbyshire",52.886,-1.762,GB
l1237,Sudbury,52.041,0.727,GB
l1238,Sudan C.S.,12.863,30.218,SD
l1239,"subscription school, Kettle",56.26,-3.118,GB
l124,"Wokingham, Berkshire",51.41,-0.834,GB
l1240,"Subscription School, Broughty Ferry",56.471,-2.88,GB
l1241,"Subscription school, Balmullo",56.378,-2.929,GB
l1242,"Subscription School, Balbeggie",56.45,-3.348,GB
l1243,Subscription School Errol,56.394,-3.21,GB
l1244,Subiaco,-31.949,115.827,AU
l1245,"Suava, Fiji",-18.125,178.45,FJ
l1246,Stuttgart,48.776,9.183,DE
l1247,Stuartfield,57.503,-2.045,GB
l1248,"Struan and St George’s, Edinburgh",55.95,-3.233,GB
l1249,Struan,56.763,-3.969,GB
l125,"Wokingham, Berks.",51.41,-0.834,GB
l1250,Strowan,-43.51,172.607,NZ
l1251,"Stroudwater, Gloucs.",51.78,-2.353,GB
l1252,"Stroudwater, Gloucestershire",51.78,-2.353,GB
l1253,"Stroud, Gloucs.",51.746,-2.218,GB
l1254,"Stroud, Gloucestershire",51.746,-2.218,GB
l1255,Stroud,51.746,-2.218,GB
l1256,Strood,51.393,0.475,GB
l1257,Strontian,56.695,-5.571,GB
l1258,Stronsay,59.107,-2.6,GB
l1259,Stromness,58.966,-3.296,GB
l126,Wokingham,51.41,-0.834,GB
l1260,Strichen House,57.576,-2.109,GB
l1261,Strichen,57.59,-2.096,GB
l1262,Stretford Lancashire,53.457,-2.288,GB
l1263,"Stretford Chapelry, Lancaster",53.447,-2.309,GB
l1264,"Strete, Dartmouth, Devon",50.31,-3.63,GB
l1265,"Streatley, Bedfordshire",51.944,-0.442,GB
l1266,Streatley,51.523,-1.149,GB
l1267,"Streatham, London",51.428,-0.124,GB
l1268,Stravithie Mill,56.291,-2.759,GB
l1269,Stravithie,56.294,-2.752,GB
l127,"Woking, Surrey",51.317,-0.56,GB
l1270,"Stratton, Hants.",51.161,-1.244,GB
l1271,"Stratton, Hampshire",51.157,-1.224,GB
l1272,Strathy,58.558,-3.993,GB
l1273,Strathtay Mission,56.663,-3.776,GB
l1274,Strathtay,56.663,-3.776,GB
l1275,Strathpeffer,57.585,-4.54,GB
l1276,"Strathore, Fife",56.162,-3.184,GB
l1277,Strathnairn,57.373,-4.192,GB
l1278,Strathmiglo,56.278,-3.268,GB
l1279,Strathmartine,56.504,-3.002,GB
l128,"Woburn, Beds.",51.988,-0.621,GB
l1280,Strathlachlan,56.109,-5.195,GB
l1281,Strathkinness,56.334,-2.877,GB
l1282,Strathgarry,56.704,-3.737,GB
l1283,Strathfillan,56.425,-4.67,GB
l1284,Strathdon,57.199,-3.075,GB
l1285,Strathbogie presbytery,57.446,-2.788,GB
l1286,Strathblane,55.985,-4.306,GB
l1287,Strathaven East,55.676,-4.064,GB
l1288,"Strath, Kinross",56.277,-3.273,GB
l1289,Strath,55.862,-4.242,GB
l129,"Woburn, Bedfordshire",51.988,-0.621,GB
l1290,"Stratford, Manchester",53.447,-2.309,GB
l1291,"Stratford, Essex",51.55,-0.003,GB
l1292,Stratford upon Avon,52.192,-1.708,GB
l1293,"Stratford on Avon, UK",52.192,-1.708,GB
l1294,Stratford on Avon,52.192,-1.708,GB
l1295,Stratford Green,52.441,-1.849,GB
l1296,Stratford,51.55,-0.003,GB
l1297,Strata Florida,52.275,-3.839,GB
l1298,Strasburg,48.573,7.752,FR
l1299,Strasbourg,48.573,7.752,FR
l13,"Yorktown, Virginia",37.239,-76.51,US
l130,"Wivelscombe, Somerset",51.044,-3.314,GB
l1300,Stranraer presbytery,54.905,-5.034,GB
l1301,Stranraer Academy,54.904,-5.019,GB
l1302,Straloch,56.758,-3.572,GB
l1303,"Straits Settlements, Singapore",1.389,103.978,MY
l1304,Straiton,55.312,-4.554,GB
l1305,"Straithwaite, Yorkshire",53.618,-1.881,GB
l1306,"Strageath, Muthill",56.331,-3.833,GB
l1307,Strachur,56.167,-5.068,GB
l1308,"Strachan, Aberdeenshire",57.02,-2.541,GB
l1309,Strachan Free Church,55.48,-2.552,GB
l131,Wivelscombe,51.044,-3.314,GB
l1310,Strachan,57.02,-2.541,GB
l1311,"Stracathro Hospital, Brechin",56.775,-2.613,GB
l1312,Stracathro,56.777,-2.617,GB
l1313,"Strabane, Ireland",54.827,-7.463,GB
l1314,"Strabane, County Donegal",54.827,-7.463,GB
l1315,"Strabane, Co. Donegal",54.827,-7.463,GB
l1316,"Stowting, Ashford, UK",51.136,1.037,GB
l1317,Stowmarket,52.189,0.998,GB
l1318,"Stowe/Cheltenham, Gloucestershire",51.935,-1.725,GB
l1319,Stowbridge,52.643,0.363,GB
l132,"Wiveliscombe, Somerset",51.044,-3.314,GB
l1320,"Stow Hill, Hartest, Bury St Edmunds",51.585,-2.997,GB
l1321,Stow,51.931,-1.726,GB
l1322,Stourbridge,52.457,-2.149,GB
l1323,Stornoway,58.209,-6.385,GB
l1324,Stoneyburn,55.844,-3.641,GB
l1325,"Stonelaw H.G. school, Rutherglen",55.821,-4.196,GB
l1326,"Stonehouse, UK",51.744,-2.279,GB
l1327,"Stonehouse, Devon",50.37,-4.156,GB
l1328,Stonehouse,51.744,-2.279,GB
l1329,Stonehaven North,56.964,-2.209,GB
l133,Wiveliscombe,51.044,-3.314,GB
l1330,Stonehaven,56.964,-2.209,GB
l1331,Stonefield,55.457,-4.629,GB
l1332,Stonebyres,55.671,-3.841,GB
l1333,"Stone, Staffordshire",52.908,-2.144,GB
l1334,"Stone of Morphie and Trunkwell, Berkshire",51.375,-1.005,GB
l1335,"Stone of Morphie and Trunkwell, Berks.",51.375,-1.005,GB
l1336,"Stoke, Staffordshire",53.003,-2.179,GB
l1337,"Stoke, Norfolk",52.565,0.505,GB
l1338,"Stoke-sub-Handen, Somerset",50.954,-2.749,GB
l1339,"Stoke Talmage, Oxfordshire",51.687,-1.017,GB
l134,"Witney, Oxfordshire",51.786,-1.485,GB
l1340,Stoke Park,51.535,-0.603,GB
l1341,Stoke on Trent,53.003,-2.179,GB
l1342,"Stoke Newington, London",51.56,-0.079,GB
l1343,Stoke Newington,51.56,-0.079,GB
l1344,"Stoke Damerill, Devon",50.381,-4.166,GB
l1345,Stoke Damerell,50.381,-4.166,GB
l1346,"Stoke Damerel, Devon",50.381,-4.166,GB
l1347,"Stoke bishop, Bristol",51.48,-2.634,GB
l1348,"Stogursey, Somerset",51.18,-3.138,GB
l1349,Stoer,58.202,-5.338,GB
l135,Witney,51.786,-1.485,GB
l1350,"Stockwith, Lincolnshire",53.443,-0.808,GB
l1351,"Stockwith,  Lincs.",53.443,-0.808,GB
l1352,Stockton on Tees,54.57,-1.329,GB
l1353,"Stockport, Cheshire",53.393,-2.127,GB
l1354,Stockport,53.393,-2.127,GB
l1355,Stockholm,59.329,18.069,SE
l1356,"Stockdale, South Australia",-30,136.209,AU
l1357,"Stockdale, S. Australia",-37.81,147.162,AU
l1358,Stockdale,51.516,-0.095,GB
l1359,"Stockbridge, Hants.",51.117,-1.484,GB
l136,"Withington, Manchester",53.431,-2.226,GB
l1360,"Stockbridge, Hampshire",51.117,-1.484,GB
l1361,"Stockbridge, Edinburgh",55.958,-3.209,GB
l1362,Stockbridge,51.117,-1.484,GB
l1363,Stobo parish school,55.626,-3.299,GB
l1364,Stobhill,55.892,-4.218,GB
l1365,Stitchel,55.637,-2.46,GB
l1366,Stirlingshire,56.117,-3.937,GB
l1367,Stirling.,56.117,-3.937,GB
l1368,"Stirling, West",56.117,-3.937,GB
l1369,"Stirling, Jamaica",56.117,-3.937,GB
l137,Withington,53.431,-2.226,GB
l1370,Stirling-shire,56.117,-3.937,GB
l1371,Stirling West,56.117,-3.937,GB
l1372,Stirling United Presbyterian Presbytery,56.117,-3.937,GB
l1373,Stirling U.P. presbytery,56.115,-3.918,GB
l1374,Stirling Secession presbytery,56.117,-3.937,GB
l1375,Stirling secession presbytery,56.117,-3.937,GB
l1376,Stirling presbytery,56.109,-3.967,GB
l1377,Stirling High School,56.105,-3.945,GB
l1378,Stirling Grammar School,56.105,-3.945,GB
l1379,Stirling East,-35.002,138.735,AU
l138,"Withdean, Brighton",50.849,-0.144,GB
l1380,Stirling District Asylum,56.145,-3.921,GB
l1381,Stirling Castle,56.124,-3.947,GB
l1382,Stirling burghs,56.118,-3.937,GB
l1383,Stirling,56.117,-3.937,GB
l1384,"Stillington, Ferryhill, Durham",54.605,-1.421,GB
l1385,"Stillington, Easingwold, Yorkshire",54.121,-1.192,GB
l1386,"Steyning, Sussex",50.887,-0.327,GB
l1387,Stewarton Original Secession Church,55.681,-4.514,GB
l1388,Stewarton,55.68,-4.514,GB
l1389,"Stewart’s Academy, Perth",55.954,-3.226,GB
l139,"Witham, Essex",51.798,0.637,GB
l1390,Stevenston,55.642,-4.76,GB
l1391,Sterling United Presbyterian presbytery,38.21,-98.207,US
l1392,Stepney,51.516,-0.048,GB
l1393,"Stenton, St Monance",56.217,-2.787,GB
l1394,Stenton,55.962,-2.603,GB
l1395,Stenscholl,57.63,-6.233,GB
l1396,Stenschol,57.63,-6.233,GB
l1397,"Stennis, Orkney",58.988,-3.207,GB
l1398,Stenness,58.988,-3.207,GB
l1399,Stellenbosch University,-33.933,18.864,ZA
l14,"Yorkton, Saskatoon, Canada",51.217,-102.474,CA
l140,Witham,51.798,0.637,GB
l1400,Stellenbosch,-33.932,18.86,ZA
l1401,"Steeven’s hospital, Dublin",53.346,-6.292,IE
l1402,Steeven’s hospital,53.346,-6.292,IE
l1403,Steeven's hospital,53.346,-6.292,IE
l1404,"Steedman, Ramage and Co., W.S. [Writer to the Signet], Edinburgh",55.953,-3.188,GB
l1405,"Staunton, Virginia, USA",38.15,-79.072,US
l1406,Stathmiglo,56.278,-3.268,GB
l1407,Stathaven,55.676,-4.064,GB
l1408,"State University, Vermillion, South Dakota",42.788,-96.925,US
l1409,State Senate,42.652,-73.757,US
l141,Wistow,52.562,-1.055,GB
l1410,State of [South Carolina],33.836,-81.164,US
l1411,"State Normal School, new Britain, Connecticut",41.693,-72.764,US
l1412,"State Hospital, Butner, North Carolina",36.146,-78.772,US
l1413,"State College, Madison",40.781,-77.875,US
l1414,"Starbank, Trinity, Edinburgh",55.98,-3.201,GB
l1415,"Star subscription school, Star, Markinch",56.218,-3.109,GB
l1416,Star,55.333,-3.444,GB
l1417,"Stapleton, Dumfries",54.989,-3.247,GB
l1418,"Staplehurst, Kent",51.163,0.553,GB
l1419,"Stanton by Bridge, Derbyshire",52.841,-1.448,GB
l142,"Wistonslow, Shropshire",52.467,-2.835,GB
l1420,Stanstead,52.111,0.692,GB
l1421,"Stanningfield, Bury St Edmunds",52.243,0.71,GB
l1422,"Stanley, Warrington, Lancashire",53.39,-2.597,GB
l1423,"Stanley, New Brunswick",46.283,-66.739,CA
l1424,"Stanley House School, Bridge of Allan",56.153,-3.94,GB
l1425,"Stanley Hospital, Liverpool",53.409,-2.922,GB
l1426,Stanley chapel,54.872,-1.683,GB
l1427,Stanley,54.869,-1.699,GB
l1428,"Stanford Rivers, Essex",51.685,0.217,GB
l1429,"Standish, Gloucestershire",51.772,-2.284,GB
l143,"Wiston, Pembrokeshire",51.826,-4.872,GB
l1430,Stamfordham Presbyterian Congregation,55.043,-1.878,GB
l1431,Stamfordham,55.042,-1.877,GB
l1432,"Stamford, Lincs.",52.651,-0.48,GB
l1433,"Stamford, Lincolnshire",52.651,-0.48,GB
l1434,Stamford Hill,51.568,-0.073,GB
l1435,Stamford,52.651,-0.48,GB
l1436,"Stalybridge, Cheshire",53.484,-2.05,GB
l1437,Stalybridge Technical School,53.488,-2.08,GB
l1438,Stalybridge,53.484,-2.05,GB
l1439,Stair,55.478,-4.473,GB
l144,Wiston,50.913,-0.363,GB
l1440,"Staines, Middlesex",51.431,-0.516,GB
l1441,Staines,51.431,-0.516,GB
l1442,Staffordshire General Infirmary,53.004,-2.213,GB
l1443,Stafford County Asylum,52.81,-2.109,GB
l1444,Stafford,52.807,-2.121,GB
l1445,Staff,52.487,-1.913,GB
l1446,"St. Marys Chapel, Park St., Grosvenor Square",51.509,-0.151,GB
l1447,"St. Mary’s, Warwick",52.282,-1.588,GB
l1448,"St. George's, Grenada",12.056,-61.749,GD
l1449,St Vincent's Hospital,53.317,-6.214,IE
l145,"Wishaw, UK",55.774,-3.919,GB
l1450,St Vincent and the Grenadines,12.984,-61.287,VC
l1451,St Vincent,55.958,-3.204,GB
l1452,St Vigeans,56.576,-2.59,GB
l1453,"St Thomas’s, British Guiana",4.86,-58.93,GY
l1454,St Thomas’s Mount,13.005,80.193,IN
l1455,"St Thomas’s Lunatic Asylum, Exeter",50.715,-3.54,GB
l1456,St Thomas’s hospital,51.498,-0.119,GB
l1457,"St Thomas's hospital, London",51.498,-0.119,GB
l1458,St Thomas's hospital,51.498,-0.119,GB
l1459,St Thomas's,51.498,-0.119,GB
l146,Wishaw,55.774,-3.919,GB
l1460,"St Thomas parish, South Carolina",32.781,-79.934,US
l1461,"St Stephens, Perth",-31.809,115.798,AU
l1462,"St Stephens, Edinburgh",55.96,-3.22,GB
l1463,"St Stephens, Caulfield",-37.883,145.033,AU
l1464,"St Stephens Chapel, Perth",55.912,-4.421,GB
l1465,"St Stephen’s, Edinburgh",55.96,-3.22,GB
l1466,"St Stephen’s, Bathurst",-33.416,149.58,AU
l1467,St Servain,48.637,-2.015,FR
l1468,"St Sephens, Perth",-31.809,115.798,AU
l1469,"St Saviours, St George’s Square, London",51.488,-0.135,GB
l147,"Wisbech, London",51.535,-0.27,GB
l1470,"St Saviours, Southwark",51.504,-0.094,GB
l1471,"St Saviours, Paddington",51.524,-0.184,GB
l1472,"St Saviour’s, Southwark",51.503,-0.094,GB
l1473,"St Saviour’s, Pimlico",51.488,-0.135,GB
l1474,St Salvator’s College,56.342,-2.792,GB
l1475,St Roques,44.989,1.07,FR
l1476,"St Phillips, Minorca",39.868,4.302,ES
l1477,"St Philip and St James, Edinburgh",55.971,-3.209,GB
